gene.name,ka.nv.1,ka.nv.2,ka.nv.3,ka.v.1,ka.v.2,ka.v.3,tbg.nv.1,tbg.nv.2,tbg.nv.3,tbg.v.1,tbg.v.2,tbg.v.3
PUX4,288.1956,322.55,305.3483,1429.292,1408.2546,1487.0847,365.2339,288.1264,365.0074,601.3883,800.6436,698.725
TZP,79.3582,93.3387,73.4382,1203.4021,1230.4892,1214.0324,493.2288,210.2741,335.332,939.7221,974.359,993.1372
GAD2,590.5921,492.6863,458.0224,2639.417,2645.0475,2705.3179,1429.1405,1339.4968,2215.2682,1630.7688,1500.3576,1621.2839
GAUT6,86.8764,99.2462,57.9775,586.2383,590.0297,579.711,129.6254,76.3972,135.023,320.5713,298.907,399.2714
FB,791.076,912.1195,746.9437,3430.032,3680.1209,3467.0638,1472.349,1120.4917,1313.1362,3092.3707,3230.7183,3172.9978
VIN3,27.5665,11.815,24.1573,1288.1108,1316.22,1093.6094,282.0779,18.1898,20.7728,1071.6722,1007.3553,748.1298
PYL11,16.707,5.9075,7.7303,263.5383,269.7999,315.0603,49.7305,18.1898,7.4188,104.8835,182.4497,180.4787
CYP75B1,5.0121,9.452,5.7978,1282.7325,1589.8022,1615.9094,520.1322,15.2794,26.7079,1695.898,2177.7507,1175.6325
491320,178.7648,198.4923,110.1573,1164.4091,1275.8761,1405.8691,388.8762,442.3759,614.2807,702.8884,741.4445,842.9063
AtBGLU10,101.9126,102.7907,62.809,1149.6187,1332.6097,1089.4086,272.2949,82.2179,117.2178,938.8762,1050.0562,866.0963
ATCCT2,70.1694,68.5271,83.1011,389.9292,375.7027,357.0684,79.8949,42.2003,78.6398,188.6211,257.1764,138.1318
AtPDC1,1.6707,5.9075,5.7978,1679.3845,2034.8459,1799.3445,238.8695,19.645,29.6754,892.3553,1185.923,998.1785
ACA8,921.3906,1010.1841,841.6403,3534.9095,3740.6368,3730.3141,1510.666,1193.9784,1431.8378,2954.4997,2893.9628,3259.7082
491275,10.0242,25.993,7.7303,411.4425,492.9521,453.6869,75.0034,79.3075,115.734,299.4254,429.9214,385.1558
485985,60.1452,29.5375,39.618,2338.2304,2143.2702,2227.8265,374.2017,90.949,78.6398,1207.0057,1736.1836,1625.3169
AtMYB32,23.3898,33.0821,16.427,197.6537,208.0233,222.6426,79.8949,47.2935,37.0942,186.0836,188.2726,176.4457
GME,766.0155,901.486,903.483,2093.5162,1959.2011,2087.7997,1188.6406,864.3793,1105.4085,1556.3354,1710.9512,1500.2926
AtGolS3,5.0121,20.0855,4.8315,2420.2499,2167.2244,2208.2228,628.561,8.0035,14.8377,1567.3312,1840.0246,1806.8039
FMO GS-OX4,65.1573,96.8832,60.8764,2003.4291,1950.3758,1663.5185,639.1593,146.246,123.1529,1678.9814,1704.1578,1638.4243
919141,16.707,4.726,17.3933,1591.9866,1702.0087,2020.5868,402.7356,45.1107,43.0293,1273.8267,1582.8482,1588.0113
AGL20,5.0121,17.7225,20.2921,395.3075,587.5082,478.8917,335.8847,230.6467,267.0786,296.0421,343.5489,423.4697
316086,0.83535,5.9075,1.9326,553.9683,624.0698,705.7351,261.6966,150.6115,237.4032,554.8674,696.8026,534.3784
481501,202.9899,68.5271,171.0337,1530.1358,1902.4675,1744.734,339.961,65.4833,57.867,1128.3431,1448.9223,1254.2768
CYP84A1,782.7225,850.6814,819.4156,1829.9779,1877.2525,1768.5386,715.7931,732.6851,522.287,1507.277,1402.3394,1632.3748
APD5,107.7601,124.0577,96.6292,442.3679,518.1671,462.0885,211.1508,220.4604,247.7895,339.1796,409.5413,376.0814
