state,name,fips,age_over_18,age_over_18_moe,age_over_65,age_over_65_moe,age_over_85,age_over_85_moe,age_under_5,age_under_5_moe,asian,asian_moe,avg_family_size,avg_family_size_moe,bachelors,bachelors_moe,black,black_moe,hispanic,hispanic_moe,household_has_broadband,household_has_broadband_moe,household_has_computer,household_has_computer_moe,household_has_smartphone,household_has_smartphone_moe,households,households_moe,households_speak_asian_or_pac_isl,households_speak_asian_or_pac_isl_moe,households_speak_limited_english,households_speak_limited_english_moe,households_speak_other,households_speak_other_moe,households_speak_other_indo_euro_lang,households_speak_other_indo_euro_lang_moe,households_speak_spanish,households_speak_spanish_moe,housing_mobile_homes,housing_mobile_homes_moe,housing_one_unit_structures,housing_one_unit_structures_moe,housing_two_unit_structures,housing_two_unit_structures_moe,hs_grad,hs_grad_moe,mean_household_income,mean_household_income_moe,mean_work_travel,mean_work_travel_moe,median_age,median_age_moe,median_household_income,median_household_income_moe,median_individual_income,median_individual_income_moe,median_individual_income_age_25plus,median_individual_income_age_25plus_moe,native,native_moe,other_single_race,other_single_race_moe,pac_isl,pac_isl_moe,per_capita_income,per_capita_income_moe,persons_per_household,persons_per_household_moe,pop,pop_moe,poverty,poverty_moe,poverty_65_and_over,poverty_65_and_over_moe,poverty_under_18,poverty_under_18_moe,two_plus_races,two_plus_races_moe,unemployment_rate,unemployment_rate_moe,uninsured,uninsured_moe,uninsured_65_and_older,uninsured_65_and_older_moe,uninsured_under_19,uninsured_under_19_moe,uninsured_under_6,uninsured_under_6_moe,veterans,veterans_moe,white,white_moe,white_not_hispanic,white_not_hispanic_moe
Alabama,Autauga County,1001,76.2,0.1,15,0.2,1.6,0.3,5.8,0.2,1,0.3,3.09,0.07,26.6,2,19,0.5,2.8,NA,80.6,1.9,73,2.1,78.4,1.8,21397,325,1.8,0.5,0.7,0.5,0.2,0.3,0.3,0.2,2.9,0.8,26.7,2.2,17.3,1.9,73.3,2.2,88.5,1.4,75326,6004,24.4,1.3,38.2,0.6,58731,4410,29725,1643,40778,1343,0.3,0.1,0.7,0.6,0,0.1,29819,2345,2.56,0.04,55380,NA,15.2,1.8,8.7,2.1,23.2,4,2.2,0.6,3.5,1,7.1,1,0,0.4,1.7,0.9,1.7,2.3,12.6,1.3,76.8,0.5,74.6,0.1
Alabama,Baldwin County,1003,78.3,NA,20,0.1,1.9,0.3,5.5,0.1,0.9,0.1,3.24,0.05,31.9,1.2,9.3,0.2,4.6,NA,81.8,1.2,76.3,1.5,81.7,1.1,80930,1127,0.6,0.2,1.2,0.4,0,0.1,1.8,0.3,4.6,0.6,24.8,1.1,11.5,0.8,75.2,1.1,90.8,0.7,80986,1930,NA,NA,43,0.3,58320,1564,29802,905,37897,1119,0.8,0.2,1.1,0.3,0,0.1,32626,758,2.59,0.04,212830,NA,10.4,0.9,7.4,1.4,13.4,2,1.7,0.3,4,0.6,8.9,0.7,0.3,0.3,3.8,1.1,2.2,1.3,11.8,0.6,86.2,0.4,83.1,0.1
Alabama,Barbour County,1005,79.1,0.1,18.6,0.1,1.6,0.4,5.3,0.1,0.5,0.1,3.01,0.12,11.6,1.4,47.6,0.6,4.4,NA,60.5,2.6,51.9,3,64.2,2.8,9345,313,0.6,0.4,1.6,0.8,0,0.1,1.1,0.5,5.2,1.3,39.1,2.6,26.1,2.4,60.9,2.6,73.2,1.8,47068,2424,NA,NA,40.4,0.5,32525,2291,17963,1198,27434,2812,0.3,0.2,3.6,0.7,0,0.1,18473,942,2.41,0.07,25361,NA,30.7,2.4,16.8,3.1,50.1,4.9,1.2,0.5,9.4,1.9,11.3,1.5,0.3,0.3,3.3,2,3.4,2.4,6.6,0.8,46.8,0.6,45.8,0.1
Alabama,Bibb County,1007,79.4,0.2,15.9,0.3,2,0.7,5.8,0.8,0.1,0.2,3.74,0.24,10.4,2.2,22.3,0.5,2.6,NA,69.2,4.3,54.7,5,66.6,4.2,6891,333,0,0.5,0.6,0.7,0,0.5,0.5,0.5,1.9,1.3,25.6,3.7,29.7,3.9,74.4,3.7,79.1,3.2,60182,5709,NA,NA,40.9,1.3,47542,5504,21958,1400,28789,3605,0.1,0.3,0,0.1,0,0.1,20778,1703,2.99,0.14,22493,NA,NA,NA,NA,NA,NA,NA,0.6,0.4,7,2.9,10.7,2.2,0,0.9,2,1.7,4.5,4.4,8,1.4,76.8,0.3,74.5,0.1
Alabama,Blount County,1009,76.8,0.1,17.9,0.2,1.8,0.3,5.9,0.1,0.4,0.1,3.33,0.08,13.1,1.3,1.6,0.3,9.3,NA,73,2.5,63.5,2.3,70.1,2.5,20847,394,0.1,0.1,1.8,0.7,0.2,0.2,0.9,0.5,6.6,0.7,21.2,2,24,2,78.8,2,80.5,1.6,65639,3912,NA,NA,40.7,0.3,49358,2136,26976,969,39004,1955,0.1,0.1,0.9,0.6,0,0.1,24747,1318,2.74,0.05,57681,NA,13.6,1.7,10.9,2.8,18.4,3.8,1.6,0.3,3.1,0.9,10.8,1.4,0.2,0.2,5.9,2.5,6.1,3.2,7.7,0.8,95.5,0.6,86.9,0.5
Alabama,Bullock County,1011,79.2,NA,16,NA,1.7,0.7,5.3,0.1,0.5,0.6,3.3,0.37,12.1,2.8,74.8,3.2,2.6,3.1,60.1,6.8,52.5,8.1,70.6,5.2,3521,255,0.4,0.6,1.4,1.6,0,0.9,1.6,1.3,3.6,3,28.9,6.9,39.3,6,71.1,6.9,74.7,4.9,48571,6108,27.2,3.5,40.2,2.3,37785,12122,21571,1971,29516,2589,0,0.3,2,3,0,0.3,20877,2064,2.79,0.2,10248,NA,NA,NA,NA,NA,NA,NA,0.8,1,4.1,3.4,11.4,4.2,0,2.1,1,1.2,2.1,3.6,3.3,1.4,21.9,0.5,21.4,0.3
Alabama,Butler County,1013,77.5,0.5,19.7,0.2,2.6,0.7,5.8,0.2,0.3,0.3,3.78,0.21,16.1,2.1,45.4,0.8,1.4,NA,64.6,3.4,60.5,3.6,57.1,3.8,6506,290,0.2,0.2,0.3,0.6,0,0.5,0.6,0.4,1.4,0.9,30,2.9,24.9,2.6,70,2.9,85,1.9,55971,3447,23.7,1.5,40.8,0.7,40688,2858,19685,1117,27354,1251,0.1,0.1,0.2,0.3,0,0.2,21038,1298,3,0.13,19828,NA,NA,NA,NA,NA,NA,NA,2.1,0.7,7,1.9,8.7,1.5,0,0.9,2.3,1.4,0.5,0.8,6.6,1.1,51.8,0.3,51.6,0.2
Alabama,Calhoun County,1015,78.2,0.1,17.2,0.1,1.8,0.2,5.8,0.1,0.9,0.1,3.03,0.06,18.5,1.1,20.8,0.4,3.8,NA,75.1,1.5,67.8,1.6,74.9,1.4,44605,644,0.8,0.3,0.9,0.4,0.1,0.1,0.8,0.2,3.1,0.5,29.9,1.3,13.8,1,70.1,1.3,84.4,1,63417,2114,NA,NA,39.6,0.3,47255,2090,24069,834,32473,1375,0.3,0.2,1.9,0.4,0,0.1,25345,773,2.5,0.03,114618,NA,17.9,1.3,9.7,1.5,25.6,2.5,2.4,0.4,7.2,0.8,9.5,0.8,0.2,0.2,2.4,0.8,1,0.8,10.8,0.7,73.7,0.5,72.1,0.2
Alabama,Chambers County,1017,79,0.2,19.2,0.2,1.9,0.5,6.1,0.2,1.1,0.2,3.1,0.14,13.3,1.7,39.6,0.5,2.4,NA,69.4,2.2,58.6,2.8,68.7,2.5,13448,405,1,0.5,0.9,0.5,0,0.2,0.5,0.3,1.4,0.4,32.5,2.3,13.4,1.8,67.5,2.3,81.6,1.8,53505,2733,23.7,1.3,42,0.7,42289,2979,22754,1104,31860,1771,0.3,0.1,0.3,0.3,0,0.1,22729,1231,2.46,0.07,33660,NA,17.3,2.2,11.4,2.4,25.5,5.6,1,0.6,4,1.2,10.3,1.7,0.4,0.4,5.4,3.4,8.1,9.1,7.9,1.1,57.7,0.3,55.5,0.1
Alabama,Cherokee County,1019,79.8,0.6,22.4,0.3,2,0.6,4.6,0.3,0.2,0.3,2.94,0.14,12.8,1.9,4.6,0.4,1.6,NA,70.7,3,57.3,3.3,71.4,2.8,10737,445,0.5,0.5,1.1,0.6,0.1,0.2,0.1,0.2,2,0.7,22.7,2.7,24.6,2.9,77.3,2.7,81.6,2.3,57617,3357,NA,NA,46.5,0.5,41919,2465,23121,1325,32245,1688,1.1,0.5,0.4,0.3,0,0.1,24301,1383,2.39,0.1,25903,NA,NA,NA,NA,NA,NA,NA,0.9,0.6,4.4,1.6,8.6,1.8,0.2,0.4,0.8,0.6,0.6,0.9,9.1,1.2,92.9,0.3,91.7,0.1
