date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera
2015-01-02,shot,gun,53,M,A,Shelton,WA,True,attack,Not fleeing,False
2015-01-02,shot,gun,47,M,W,Aloha,OR,False,attack,Not fleeing,False
2015-01-03,shot and Tasered,unarmed,23,M,H,Wichita,KS,False,other,Not fleeing,False
2015-01-04,shot,toy weapon,32,M,W,San Francisco,CA,True,attack,Not fleeing,False
2015-01-04,shot,nail gun,39,M,H,Evans,CO,False,attack,Not fleeing,False
2015-01-04,shot,gun,18,M,W,Guthrie,OK,False,attack,Not fleeing,False
2015-01-05,shot,gun,22,M,H,Chandler,AZ,False,attack,Car,False
2015-01-06,shot,gun,35,M,W,Assaria,KS,False,attack,Not fleeing,False
2015-01-06,shot,unarmed,34,F,W,Burlington,IA,False,other,Not fleeing,True
2015-01-06,shot,toy weapon,47,M,B,Knoxville,PA,False,attack,Not fleeing,False
2015-01-06,shot and Tasered,knife,25,M,W,Stockton,CA,False,attack,Not fleeing,False
2015-01-07,shot,gun,31,M,B,Freeport,TX,False,attack,Not fleeing,False
2015-01-07,shot,knife,41,M,B,Columbus,OH,True,other,Not fleeing,False
2015-01-07,shot,gun,30,M,W,Des Moines,IA,False,attack,Car,False
2015-01-07,shot,gun,37,M,B,New Orleans,LA,False,attack,Foot,True
2015-01-08,shot,,28,M,W,Huntley,MT,False,undetermined,Not fleeing,False
2015-01-08,shot,shovel,42,M,W,Salt Lake City,UT,False,attack,Not fleeing,True
2015-01-08,shot,unarmed,36,M,B,Strong,AR,False,attack,Not fleeing,False
2015-01-08,shot,gun,49,M,W,Syracuse,UT,False,attack,Not fleeing,True
2015-01-09,shot,gun,71,M,W,England,AR,False,attack,Not fleeing,False
2015-01-09,shot,gun,33,M,H,El Paso,TX,False,attack,Not fleeing,False
2015-01-11,shot,gun,39,M,W,Arcola,IL,True,attack,Not fleeing,False
2015-01-11,shot,gun,23,M,H,South Gate,CA,False,attack,Not fleeing,False
2015-01-11,shot and Tasered,gun,29,M,H,North Las Vegas,NV,False,attack,Foot,False
2015-01-13,shot,gun,34,M,W,Albuquerque,NM,False,attack,Foot,True
2015-01-13,shot,knife,43,M,W,Jourdanton,TX,True,other,Not fleeing,False
2015-01-14,shot,,24,M,B,St. Paul,MN,False,attack,Not fleeing,False
2015-01-14,shot,,29,M,W,Franklin County,MO,False,attack,Not fleeing,False
2015-01-14,shot,gun,34,M,B,Chesapeake,VA,True,attack,Not fleeing,False
2015-01-14,shot,knife,75,M,W,Old Bridge,NJ,False,attack,Not fleeing,False
2015-01-14,shot,gun,68,M,W,Lake Jackson,TX,False,attack,Not fleeing,False
2015-01-14,shot,knife,34,M,W,Draper,UT,False,attack,Not fleeing,True
2015-01-15,shot,gun,27,M,B,Indianapolis,IN,False,attack,Foot,False
2015-01-15,shot,gun,39,M,B,Aurora,CO,False,attack,Not fleeing,False
2015-01-15,shot,gun,24,M,W,Bloomington,MN,True,attack,Not fleeing,False
2015-01-15,shot,knife,36,M,H,Fairfield,CA,True,other,Not fleeing,False
2015-01-15,shot,gun,33,M,W,Evangeline Parish,LA,False,attack,Not fleeing,False
2015-01-16,shot,gun,41,M,W,Mabank,TX,False,attack,Car,False
2015-01-16,shot and Tasered,knife,48,M,O,Fremont,CA,False,other,Not fleeing,False
2015-01-17,shot,gun,21,M,B,Muskogee,OK,False,attack,Foot,True
2015-01-17,shot,gun,24,M,H,Los Angeles,CA,False,attack,Not fleeing,False
2015-01-17,shot,knife,27,M,H,Fort Worth,TX,False,attack,Not fleeing,False
2015-01-18,shot,gun,32,M,W,Maricopa,AZ,True,attack,Not fleeing,False
2015-01-18,shot and Tasered,gun,67,M,W,Gunlock,KY,True,attack,Not fleeing,False
2015-01-19,shot,knife,49,M,W,Weymouth,MA,False,attack,Not fleeing,False
2015-01-20,shot,,42,M,B,Scottsdale,AZ,False,other,Car,False
2015-01-21,shot,gun,36,M,W,Hemet,CA,False,attack,Not fleeing,False
2015-01-21,shot,gun,36,M,H,Chapeno,TX,False,attack,Foot,False
2015-01-21,shot,gun,19,M,B,St. Louis,MO,False,attack,Not fleeing,False
2015-01-21,shot,gun,54,M,W,Derry,NH,True,attack,Not fleeing,False
2015-01-22,shot,toy weapon,25,M,B,Sierra Blanca,TX,False,attack,Car,False
