year,name,country,time,time_hrs,division,note
1970,Gary Muhrcke,United States,02:31:38,2.527222222222222,Men,Course record
1970,NA,NA,NA,NA,Women,No woman finishers
1971,Norman Higgins,United States,02:22:54,2.381666666666667,Men,Course record
1971,Beth Bonner,United States,02:55:22,2.9227777777777777,Women,World record
1972,Sheldon Karlin,United States,02:27:52,2.4644444444444447,Men,NA
1972,Nina Kuscsik,United States,03:08:41,3.144722222222222,Women,NA
1973,Tom Fleming,United States,02:21:54,2.365,Men,Course record
1973,Nina Kuscsik,United States,02:57:07,2.9519444444444445,Women,Second victory
1974,Norbert Sander,United States,02:26:30,2.441666666666667,Men,NA
1974,Kathrine Switzer,United States,03:07:29,3.124722222222222,Women,NA
1975,Tom Fleming,United States,02:19:27,2.3241666666666663,Men,"Course record, second victory"
1975,Kim Merritt,United States,02:46:14,2.7705555555555557,Women,Course record
1976,Bill Rodgers,United States,02:10:10,2.1694444444444443,Men,Course record
1976,Miki Gorman,United States,02:39:11,2.6530555555555555,Women,Course record
1977,Bill Rodgers,United States,02:11:28,2.191111111111111,Men,Second victory
1977,Miki Gorman,United States,02:43:10,2.7194444444444446,Women,Second victory
1978,Bill Rodgers,United States,02:12:12,2.2033333333333336,Men,Third victory
1978,Grete Waitz,Norway,02:32:30,2.5416666666666665,Women,World record
1979,Bill Rodgers,United States,02:11:42,2.195,Men,Fourth victory
1979,Grete Waitz,Norway,02:27:33,2.459166666666667,Women,"World record, second victory"
1980,Alberto Salazar,United States,02:09:41,2.161388888888889,Men,Course record
1980,Grete Waitz,Norway,02:25:42,2.4283333333333332,Women,"World record, third victory"
1981,Alberto Salazar,United States,02:08:13,2.1369444444444445,Men,"Course record (course measured short), second victory"
1981,Allison Roe,New Zealand,02:25:29,2.424722222222222,Women,Course record (course measured short)
1982,Alberto Salazar,United States,02:09:29,2.1580555555555554,Men,Third victory
1982,Grete Waitz,Norway,02:27:14,2.4538888888888892,Women,Fourth victory
1983,Rod Dixon,New Zealand,02:08:59,2.149722222222222,Men,NA
1983,Grete Waitz,Norway,02:27:00,2.45,Women,Fifth victory
1984,Orlando Pizzolato,Italy,02:14:53,2.2480555555555557,Men,NA
1984,Grete Waitz,Norway,02:29:30,2.4916666666666667,Women,Sixth victory
1985,Orlando Pizzolato,Italy,02:11:34,2.1927777777777777,Men,Second victory
1985,Grete Waitz,Norway,02:28:34,2.4761111111111114,Women,Seventh victory
1986,Gianni Poli,Italy,02:11:06,2.1849999999999996,Men,NA
1986,Grete Waitz,Norway,02:28:06,2.4683333333333333,Women,Eighth victory
1987,Ibrahim Hussein,Kenya,02:11:01,2.183611111111111,Men,NA
1987,Priscilla Welch,United Kingdom,02:30:17,2.504722222222222,Women,NA
1988,Steve Jones,United Kingdom,02:08:20,2.138888888888889,Men,NA
1988,Grete Waitz,Norway,02:28:07,2.468611111111111,Women,Ninth victory
1989,Juma Ikangaa,Tanzania,02:08:01,2.133611111111111,Men,Course record
1989,Ingrid Kristiansen,Norway,02:25:30,2.425,Women,NA
1990,Douglas Wakiihuri,Kenya,02:12:39,2.2108333333333334,Men,NA
1990,Wanda Panfil,Poland,02:30:45,2.5125,Women,NA
1991,Salvador Garca,Mexico,02:09:28,2.1577777777777776,Men,NA
1991,Liz McColgan,United Kingdom,02:27:32,2.458888888888889,Women,NA
1992,Willie Mtolo,South Africa,02:09:29,2.1580555555555554,Men,NA
1992,Lisa Ondieki,Australia,02:24:40,2.411111111111111,Women,Course record
1993,Andrs Espinosa,Mexico,02:10:04,2.167777777777778,Men,NA
1993,Uta Pippig,Germany,02:26:24,2.4400000000000004,Women,NA
1994,Germn Silva,Mexico,02:11:21,2.1891666666666665,Men,NA
1994,Tegla Loroupe,Kenya,02:27:37,2.460277777777778,Women,NA
1995,Germn Silva,Mexico,02:11:00,2.183333333333333,Men,Second victory
1995,Tegla Loroupe,Kenya,02:28:06,2.4683333333333333,Women,Second victory
1996,Giacomo Leone,Italy,02:09:54,2.165,Men,NA
1996,Anua Ctun,Romania,02:28:18,2.4716666666666667,Women,NA
1997,John Kagwe,Kenya,02:08:12,2.1366666666666667,Men,NA
1997,Franziska Rochat-Moser,Switzerland,02:28:43,2.4786111111111113,Women,NA
1998,John Kagwe,Kenya,02:08:45,2.1458333333333335,Men,Second victory
1998,Franca Fiacconi,Italy,02:25:17,2.4213888888888886,Women,NA
1999,Joseph Chebet,Kenya,02:09:14,2.153888888888889,Men,NA
1999,Adriana Fernndez,Mexico,02:25:06,2.418333333333333,Women,NA
2000,Abdelkader El Mouaziz,Morocco,02:10:09,2.1691666666666665,Men,NA
2000,Lyudmila Petrova,Russia,02:25:45,2.4291666666666667,Women,NA
2001,Tesfaye Jifar,Ethiopia,02:07:43,2.1286111111111112,Men,Course record
2001,Margaret Okayo,Kenya,02:24:21,2.4058333333333333,Women,Course record
2002,Rodgers Rop,Kenya,02:08:07,2.1352777777777776,Men,NA
2002,Joyce Chepchumba,Kenya,02:25:56,2.4322222222222223,Women,NA
2003,Martin Lel,Kenya,02:10:30,2.175,Men,NA
2003,Margaret Okayo,Kenya,02:22:31,2.375277777777778,Women,"Current course record, second victory"
2004,Hendrick Ramaala,South Africa,02:09:28,2.1577777777777776,Men,NA
2004,Paula Radcliffe,United Kingdom,02:23:10,2.386111111111111,Women,NA
2005,Paul Tergat,Kenya,02:09:30,2.158333333333333,Men,NA
2005,Jeena Prokopuka,Latvia,02:24:41,2.411388888888889,Women,NA
2006,Marlson Gomes dos Santos,Brazil,02:09:58,2.166111111111111,Men,NA
2006,Jeena Prokopuka,Latvia,02:25:05,2.4180555555555556,Women,Second victory
2007,Martin Lel,Kenya,02:09:04,2.151111111111111,Men,Second victory
2007,Paula Radcliffe,United Kingdom,02:23:09,2.3858333333333333,Women,Second victory
2008,Marlson Gomes dos Santos,Brazil,02:08:43,2.145277777777778,Men,Second victory
2008,Paula Radcliffe,United Kingdom,02:23:56,2.398888888888889,Women,Third victory
2009,Meb Keflezighi,United States,02:09:15,2.154166666666667,Men,NA
2009,Derartu Tulu,Ethiopia,02:28:52,2.4811111111111113,Women,NA
2010,Gebregziabher Gebremariam,Ethiopia,02:08:14,2.1372222222222224,Men,NA
2010,Edna Kiplagat,Kenya,02:28:20,2.4722222222222223,Women,NA
2011,Geoffrey Mutai,Kenya,02:05:06,2.085,Men,Current course record
2011,Firehiwot Dado,Ethiopia,02:23:15,2.3875,Women,NA
2012,NA,NA,NA,NA,Men,Canceled due to Hurricane Sandy
2012,NA,NA,NA,NA,Women,Canceled due to Hurricane Sandy
2013,Geoffrey Mutai,Kenya,02:08:24,2.14,Men,Second victory
2013,Priscah Jeptoo,Kenya,02:25:07,2.418611111111111,Women,NA
2014,Wilson Kipsang,Kenya,02:10:59,2.1830555555555553,Men,NA
2014,Mary Keitany,Kenya,02:25:07,2.418611111111111,Women,NA
2015,Stanley Biwott,Kenya,02:10:34,2.176111111111111,Men,NA
2015,Mary Keitany,Kenya,02:24:25,2.4069444444444446,Women,Second victory
2016,Ghirmay Ghebreslassie,Eritrea,02:07:51,2.1308333333333334,Men,NA
2016,Mary Keitany,Kenya,02:24:26,2.407222222222222,Women,Third victory
2017,Geoffrey Kamworor,Kenya,02:10:53,2.181388888888889,Men,NA
2017,Shalane Flanagan,United States,02:26:53,2.448055555555556,Women,NA
2018,Lelisa Desisa,Ethiopia,02:05:59,2.0997222222222223,Men,NA
2018,Mary Keitany,Kenya,02:22:48,2.38,Women,Fourth victory
2019,Geoffrey Kamworor,Kenya,02:08:13,2.1369444444444445,Men,Second victory
2019,Joyciline Jepkosgei,Kenya,02:22:38,2.377222222222222,Women,NA
2020,Kevin Quinn,United Kingdom,02:23:48,2.3966666666666665,Men,Virtual event held due to the COVID-19
2020,Stephanie Bruce,United States,02:35:28,2.591111111111111,Women,Virtual event held due to the COVID-19
