president,party,has_pwr
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,yes
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,r,no
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,yes
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
bush,d,no
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,yes
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,r,no
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,yes
obama,d,no
obama,d,no
obama,d,no
obama,d,no
obama,d,no
obama,d,no
obama,d,no
obama,d,no
obama,d,no
obama,d,no
obama,d,no
obama,d,no
obama,d,no
obama,d,no
obama,d,no
