race_eth,response
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,Yes
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
White,No
