country.name,inf.mort,life.expect,sanit.access,adol.fert,edu.expend,adult.lit,prim.edu.fem,birth.rate,log.gdp.per.capita,sanit.access.factor,sanit.access.num,gdp.per.capita
Afghanistan,73.4,59.3279512195122,29.9,93.7132,4.08791,31.741117477417,NA,37.636,6.43355028331711,low,0,622.379654358449
Albania,14.3,77.2405853658537,91.5,20.3584,NA,96.8452987670898,NA,12.651,8.39791674094637,high,1,4437.811999002228
Algeria,22.8,74.07,86.8,11.0822,NA,NA,95.265510559082,24.921,8.60289443941526,high,1,5447.4039755656895
Angola,106.8,51.0593170731707,47.6,178.436,NA,NA,39.7735786437988,47.018,8.52788357488356,low,0,5053.738648929308
Argentina,12.7,75.6490487804878,95.2,63.298,4.98632,NA,110.728363037109,18.018,9.50248125690618,high,1,13392.91690364452
Armenia,15.3,74.3428292682927,89.5,26.0886,3.14385,99.7444152832031,NA,13.652,8.13656853940783,high,1,3417.1718359991532
Australia,3.8,81.8951219512195,100,15.8416,5.10608,NA,NA,13.6,11.0383762743668,high,1,62216.54712941334
Austria,3.4,80.9829268292683,100,9.0772,5.61861,NA,96.6887130737305,9.3,10.8420007526884,high,1,51123.56132916869
Azerbaijan,32.5,70.5518048780488,83.2,52.5774,2.43564,99.7786331176758,92.1835632324219,19.2,8.88040350531557,high,1,7189.691229207625
Bahrain,6.7,76.2678536585366,99.2,13.9646,NA,NA,NA,15.764,10.0095898307793,high,1,22238.711950205456
Bangladesh,37.2,70.4719512195122,56.8,87.0114,NA,NA,79.8319091796875,20.882,6.73167158822776,high,1,838.5478017022325
Belarus,4.3,70.5536585365854,94.4,21.5494,4.84382,NA,106.377647399902,11.5,8.74922094705308,high,1,6305.773662476554
Belgium,3.5,80.5853658536585,99.5,9.29,6.36516,NA,NA,11.6,10.7726826318346,high,1,47699.807051894844
Benin,69.8,58.9329024390244,17.8,93.1962,NA,NA,61.5270690917969,37.362,6.68340544932095,low,0,799.0355591314335
Bhutan,32.3,68.3231951219512,48.3,32.016,4.65258,NA,94.5840301513672,19.241,7.81834460957972,low,0,2485.7870521684827
Bolivia,35.3,66.9425609756098,47.5,74.4374,6.89264,92.2261428833008,92.3215408325195,25.035,7.7738892029407,low,0,2377.7006897288884
Bosnia and Herzegovina,6.2,75.9629268292683,94.8,11.9598,NA,NA,NA,9.235,8.48895453233435,high,1,4860.781625884552
Botswana,39.9,63.9516097560976,61.5,41.0362,NA,NA,NA,25.529,8.92330487810727,high,1,7504.850907448947
Brazil,14.4,73.5523414634146,81.1,68.9322,5.73953,91.411247253418,NA,15.342,9.47570947507994,high,1,13039.121649958159
Bulgaria,10.9,74.1634146341463,85.9,42.2552,3.66867,98.3524475097656,104.271942138672,9.6,8.95545326814457,high,1,7750.039880030731
Burkina Faso,67.3,57.4920487804878,18,118.2566,4.48326,NA,NA,41.679,6.50100050965902,low,0,665.8074466937918
Burundi,61.6,55.3120243902439,47.2,30.9104,5.99779,NA,54.8153114318848,44.489,5.48319599898202,low,0,240.61448345912558
Cambodia,33.6,66.8728780487805,35.4,48.4484,NA,NA,93.7216186523438,25.164,6.77895694669771,low,0,879.1512440923422
Cameroon,64.4,54.1373658536585,44.9,118.8154,3.05291,NA,63.7105712890625,38.195,7.13801318369778,low,0,1258.9246506685358
Canada,4.7,81.3492926829268,99.8,11.8552,5.27246,NA,NA,11,10.8606617207158,high,1,52086.533524627455
Central African Republic,99.7,48.3504390243903,21.1,99.9918,1.22862,NA,32.8967208862305,34.607,6.18328917741136,low,0,484.5832181220096
Central Europe and the Baltics,6.38276310334145,75.8884748834282,91.8451575487551,20.8113150773477,NA,NA,97.3519821166992,9.9366846468983,9.5374292713936,high,1,13869.247685038797
Chad,91.9,50.3319512195122,11.8,157.9878,2.2579,NA,26.5389003753662,46.738,6.89613113948468,low,0,988.443159794218
Chile,7.5,80.5869756097561,98.3,49.993,4.06808,96.703010559082,94.9388885498047,13.757,9.58755486411587,high,1,14582.170519252122
China,12.5,75.2021707317073,71.9,7.5878,NA,NA,NA,11.93,8.62590177284799,high,1,5574.187093369045
Colombia,15.4,73.4548048780488,79.8,58.8626,4.45981,93.5805358886719,NA,16.727,8.88568594528203,high,1,7227.770829556417
Comoros,61.3,62.212756097561,33.5,75.4602,4.93279,NA,NA,35.068,6.67275179535493,low,0,790.5680955794119
"Congo, Dem. Rep.",82.6,57.3986341463415,27.2,125.4558,NA,NA,55.6834983825684,43.266,5.85870615349953,low,0,350.2706542498823
"Congo, Rep.",39.6,60.0851707317073,14.4,126.2022,NA,79.3111724853516,75.3989410400391,37.797,8.14706276393209,low,0,3453.2212288564688
Costa Rica,8.8,78.8901707317073,94.1,60.1492,NA,97.4065856933594,100.534599304199,15.564,9.10093614173493,high,1,8963.680051991723
Cote d'Ivoire,75,50.5172195121951,21.3,135.6134,NA,NA,52.92919921875,37.69,7.1162868607834,low,0,1231.8678340517265
Croatia,4.3,76.7756097560976,97.1,12.0636,4.15795,99.125358581543,93.3684463500977,9.6,9.5848085059801,high,1,14542.17759918724
Cuba,4.8,79.039512195122,92.2,48.4786,NA,NA,98.8709106445313,10.702,8.71483248073692,high,1,6092.613901799534
Cyprus,2.9,79.571512195122,100,5.6888,6.64467,98.6784286499023,101.551567077637,11.619,10.3683724631916,high,1,31836.619511215507
Czech Republic,3.2,77.8731707317073,99.1,11.0442,4.28418,NA,105.31591796875,10.4,9.9830813018204,high,1,21656.941418178576
Denmark,3.2,79.8,99.6,4.7226,8.5471,NA,99.7572708129883,10.6,11.0236013710292,high,1,61304.061204654274
